query,url,video_id,alternatives,error,resolved_query
DJMAX RESPECT V !!New Game Start!!,https://www.youtube.com/watch?v=VJrVRkcBh-A,VJrVRkcBh-A,https://www.youtube.com/watch?v=Qv71QAZA-Vo https://www.youtube.com/watch?v=pjxfZNkzH_s,,
DJMAX RESPECT V #1f1e33,https://www.youtube.com/watch?v=Zzbiz945q4g,Zzbiz945q4g,https://www.youtube.com/watch?v=GsxSbgyhHNU https://www.youtube.com/watch?v=wy67Lp1gIgQ,,
DJMAX RESPECT V 1! 2! 3! 4! Streaming rn CHU!,https://www.youtube.com/watch?v=XrosmO1bWrk,XrosmO1bWrk,https://www.youtube.com/watch?v=Wttl9MEg8n8 https://www.youtube.com/watch?v=d59_zCSRzUI,,
DJMAX RESPECT V 3:33,https://www.youtube.com/watch?v=U2VW74sAeas,U2VW74sAeas,https://www.youtube.com/watch?v=7QfyLEv_T4Q https://www.youtube.com/watch?v=i_fvXOlijvw,,
DJMAX RESPECT V AD2222,https://www.youtube.com/watch?v=2z3xJtppjW4,2z3xJtppjW4,https://www.youtube.com/watch?v=kGSZbtAqj2o https://www.youtube.com/watch?v=ryvIlLlqlhQ,,
DJMAX RESPECT V Airlock,https://www.youtube.com/watch?v=TxxZFoCyO9Y,TxxZFoCyO9Y,https://www.youtube.com/watch?v=bWrLtsOILF4 https://www.youtube.com/watch?v=mm_RicCTqfo,,
DJMAX RESPECT V Airwave,https://www.youtube.com/watch?v=TE8ChoO0Cu8,TE8ChoO0Cu8,https://www.youtube.com/watch?v=6NEoYMXYkso https://www.youtube.com/watch?v=0KiK21l0Uig,,
DJMAX RESPECT V alliance,https://www.youtube.com/watch?v=Y-AC9hNp-Vk,Y-AC9hNp-Vk,https://www.youtube.com/watch?v=o9ovrnKiT4g https://www.youtube.com/watch?v=J-9cwxFqgnY,,
DJMAX RESPECT V ALTER/ƏgØ,https://www.youtube.com/watch?v=MtDpqGhOOZ4,MtDpqGhOOZ4,https://www.youtube.com/watch?v=aTXn1-4bz64 https://www.youtube.com/watch?v=p0qnLLhH48Q,,
DJMAX RESPECT V ANALYS,https://www.youtube.com/watch?v=rjMVoPxw3l4,rjMVoPxw3l4,https://www.youtube.com/watch?v=k4io_Sxu8d8 https://www.youtube.com/watch?v=nR6fCYe4RR0,,
DJMAX RESPECT V And Revive The Melody,https://www.youtube.com/watch?v=DCCLy3yDXcs,DCCLy3yDXcs,https://www.youtube.com/watch?v=EBT-LE9Pui8 https://www.youtube.com/watch?v=sXP4_G2CN3Q,,
DJMAX RESPECT V Angelic Sphere,https://www.youtube.com/watch?v=HeU7JGaSvzk,HeU7JGaSvzk,https://www.youtube.com/watch?v=22fD7xLpKDE https://www.youtube.com/watch?v=DBhuozkyYh8,,
DJMAX RESPECT V ANiMA,https://www.youtube.com/watch?v=9-sdv54HKvA,9-sdv54HKvA,https://www.youtube.com/watch?v=Vvd5pv7K12c https://www.youtube.com/watch?v=tJFjBCe20H4,,
DJMAX RESPECT V Astro Fight,https://www.youtube.com/watch?v=rSWuvIcbziE,rSWuvIcbziE,https://www.youtube.com/watch?v=6_MtVZRT1ro https://www.youtube.com/watch?v=pzu8AAnFqsQ,,
DJMAX RESPECT V Aurora Borealis,https://www.youtube.com/watch?v=eM1tA5He_kk,eM1tA5He_kk,https://www.youtube.com/watch?v=bBmO96AOKyI https://www.youtube.com/watch?v=hEhNMmYjZdM,,
DJMAX RESPECT V Away,https://www.youtube.com/watch?v=i_Z4FMCgtPg,i_Z4FMCgtPg,https://www.youtube.com/watch?v=TcY0vsLOIks https://www.youtube.com/watch?v=A7SffrHGe1s,,
DJMAX RESPECT V B!G-BANG CHALLENGE,https://www.youtube.com/watch?v=QCUlpMuYmmQ,QCUlpMuYmmQ,https://www.youtube.com/watch?v=TzHORy7ODQQ https://www.youtube.com/watch?v=NVq81CLgD50,,
DJMAX RESPECT V Back to the oldschool,https://www.youtube.com/watch?v=kCBmHsILUiA,kCBmHsILUiA,https://www.youtube.com/watch?v=fGxvmzXcHq8 https://www.youtube.com/watch?v=KzhgBGD0gK8,,
DJMAX RESPECT V Bamboo on Bamboo,https://www.youtube.com/watch?v=IIq4BLx6mIg,IIq4BLx6mIg,https://www.youtube.com/watch?v=rztGKuMgNUU https://www.youtube.com/watch?v=TeCdYMRpPLY,,
DJMAX RESPECT V Basement,https://www.youtube.com/watch?v=_xprFT4VLBQ,_xprFT4VLBQ,https://www.youtube.com/watch?v=Fj7V68mOXQc https://www.youtube.com/watch?v=ZzFWNzAAAyE,,
DJMAX RESPECT V Beat U Down,https://www.youtube.com/watch?v=b4cNaotKtxw,b4cNaotKtxw,https://www.youtube.com/watch?v=Huu57e3L4tY https://www.youtube.com/watch?v=qJ0lz_68YK4,,
DJMAX RESPECT V Binary World,https://www.youtube.com/watch?v=EbVknP6I6Ks,EbVknP6I6Ks,https://www.youtube.com/watch?v=e2WASPS7jrQ https://www.youtube.com/watch?v=YUeqK2EuiFw,,
DJMAX RESPECT V Black MInD,https://www.youtube.com/watch?v=Rtip8vC0ipo,Rtip8vC0ipo,https://www.youtube.com/watch?v=B9K64AcYLHU https://www.youtube.com/watch?v=6sT1-CmEN6Y,,
DJMAX RESPECT V BlueWhite,https://www.youtube.com/watch?v=A7OcVM-COOg,A7OcVM-COOg,https://www.youtube.com/watch?v=sOFj9rjKRjg https://www.youtube.com/watch?v=Kv04a4NAFhU,,
DJMAX RESPECT V BlythE,https://www.youtube.com/watch?v=WcxUq6B0QsU,WcxUq6B0QsU,https://www.youtube.com/watch?v=j1PBsw_KFTc https://www.youtube.com/watch?v=C4aY5JTvYx8,,
DJMAX RESPECT V Brain Storm,https://www.youtube.com/watch?v=iWHP-76gvOo,iWHP-76gvOo,https://www.youtube.com/watch?v=P-zDaH0hYLQ https://www.youtube.com/watch?v=vXCaLGzmi1I,,
DJMAX RESPECT V Break a Spell,https://www.youtube.com/watch?v=mmbu5tfxYQQ,mmbu5tfxYQQ,https://www.youtube.com/watch?v=7I-VSOTiu3w https://www.youtube.com/watch?v=9TSqp4Tns5s,,
DJMAX RESPECT V break it down!,https://www.youtube.com/watch?v=tBiZhdPM9_4,tBiZhdPM9_4,https://www.youtube.com/watch?v=RFjVOBjcX2Y https://www.youtube.com/watch?v=ZlEaCLSwLVY,,
DJMAX RESPECT V Bright Future,https://www.youtube.com/watch?v=s2oR44pYUlk,s2oR44pYUlk,https://www.youtube.com/watch?v=fWNQT5pqALE https://www.youtube.com/watch?v=Kyu-v6NpZWc,,
DJMAX RESPECT V Bring The Techno,https://www.youtube.com/watch?v=oWOTf5BfgfA,oWOTf5BfgfA,https://www.youtube.com/watch?v=s5zE2FL0Zjk https://www.youtube.com/watch?v=6vg4zvl4Zns,,
DJMAX RESPECT V Broken Sphere,https://www.youtube.com/watch?v=oORq6ERIpwI,oORq6ERIpwI,https://www.youtube.com/watch?v=oSAGt5nUtiA https://www.youtube.com/watch?v=JU8Hvqa_y1s,,
DJMAX RESPECT V Carrot Carrot,https://www.youtube.com/watch?v=1EJcaxYMZzQ,1EJcaxYMZzQ,https://www.youtube.com/watch?v=aZ2TiFKPHxM https://www.youtube.com/watch?v=VjDr74JzZJc,,
DJMAX RESPECT V Checkmate (feat. Re.may),https://www.youtube.com/watch?v=0e0gHWsdKkI,0e0gHWsdKkI,https://www.youtube.com/watch?v=wCXmEpjQdrA https://www.youtube.com/watch?v=lW7THPbrSgQ,,
DJMAX RESPECT V CHiNEM4TiC,https://www.youtube.com/watch?v=upNRraLNEg4,upNRraLNEg4,https://www.youtube.com/watch?v=AACViUHQc9s https://www.youtube.com/watch?v=R-VVXKNt4ko,,
DJMAX RESPECT V Cocked Pistol,https://www.youtube.com/watch?v=Qc5_DBs7EFo,Qc5_DBs7EFo,https://www.youtube.com/watch?v=LfIvQLhmnvI https://www.youtube.com/watch?v=wwTe0a4kqg0,,
DJMAX RESPECT V Comet Coaster,https://www.youtube.com/watch?v=THmKrtGArW0,THmKrtGArW0,https://www.youtube.com/watch?v=4jFZ6pbRn4w https://www.youtube.com/watch?v=15guAYdGlEI,,
DJMAX RESPECT V conflict,https://www.youtube.com/watch?v=6IQHLnA9xbs,6IQHLnA9xbs,https://www.youtube.com/watch?v=FehU1IVW-go https://www.youtube.com/watch?v=fEcI8wW_omw,,
DJMAX RESPECT V Critical Point,https://www.youtube.com/watch?v=053zzds7krg,053zzds7krg,https://www.youtube.com/watch?v=mZfU9E2cGCo https://www.youtube.com/watch?v=N8RnD5poVDk,,
DJMAX RESPECT V Cthugha,https://www.youtube.com/watch?v=1nN7OnIdSrc,1nN7OnIdSrc,https://www.youtube.com/watch?v=HXLyRXxu6vs https://www.youtube.com/watch?v=95i7fXdG6OM,,
DJMAX RESPECT V Cyaegha,https://www.youtube.com/watch?v=uKPGV-JbW-o,uKPGV-JbW-o,https://www.youtube.com/watch?v=hcOvDTRygic https://www.youtube.com/watch?v=VrigM4WbREU,,
DJMAX RESPECT V D2,https://www.youtube.com/watch?v=8zI_LCeJGCY,8zI_LCeJGCY,https://www.youtube.com/watch?v=01QHaewh144 https://www.youtube.com/watch?v=tdGKqLlLUSc,,
DJMAX RESPECT V Dark ENVY,https://www.youtube.com/watch?v=mo3p5S-WuV8,mo3p5S-WuV8,https://www.youtube.com/watch?v=h2QZRzjGank https://www.youtube.com/watch?v=eklz1XvHCGw,,
DJMAX RESPECT V Daydream,https://www.youtube.com/watch?v=sayzAjrOvEs,sayzAjrOvEs,https://www.youtube.com/watch?v=RDPNiPeGJB0 https://www.youtube.com/watch?v=_uxJT9_MKbE,,
DJMAX RESPECT V Daylight,https://www.youtube.com/watch?v=UtgwsirHOrY,UtgwsirHOrY,https://www.youtube.com/watch?v=jinpfLVRKd4 https://www.youtube.com/watch?v=dW77YAe-Vws,,
DJMAX RESPECT V Dazzle hop,https://www.youtube.com/watch?v=x_7t4dWV_OI,x_7t4dWV_OI,https://www.youtube.com/watch?v=GQmJAcTU0wY https://www.youtube.com/watch?v=kIYRl8JoCp0,,
DJMAX RESPECT V Deadly Bomber,https://www.youtube.com/watch?v=wAduC7mNI2M,wAduC7mNI2M,https://www.youtube.com/watch?v=7e4RkrwBiaQ https://www.youtube.com/watch?v=FbRYYKeieMs,,
DJMAX RESPECT V Delusion (feat. SOONHO),https://www.youtube.com/watch?v=3EJbA6eVbvk,3EJbA6eVbvk,https://www.youtube.com/watch?v=RjT5NLh5qqw https://www.youtube.com/watch?v=9SnXEczZP74,,
DJMAX RESPECT V DIE IN,https://www.youtube.com/watch?v=a8NPjST4Z9s,a8NPjST4Z9s,https://www.youtube.com/watch?v=ktLFwOARROg https://www.youtube.com/watch?v=NBBTLOysmVA,,
DJMAX RESPECT V Diomedes,https://www.youtube.com/watch?v=F_QKXVvsSRg,F_QKXVvsSRg,https://www.youtube.com/watch?v=zXT6-UTcG9E https://www.youtube.com/watch?v=RN9zLzt9zoM,,
DJMAX RESPECT V Diomedes ~Extended Mix~,https://www.youtube.com/watch?v=zXT6-UTcG9E,zXT6-UTcG9E,https://www.youtube.com/watch?v=YSYZBHm1qzo https://www.youtube.com/watch?v=4Sln4o1tTFU,,
DJMAX RESPECT V Disappearing Act,https://www.youtube.com/watch?v=RmuHc8WlK00,RmuHc8WlK00,https://www.youtube.com/watch?v=cao6a8uZoTk https://www.youtube.com/watch?v=YUhFD1ERtBU,,
DJMAX RESPECT V Don't Fight The Music,https://www.youtube.com/watch?v=uDG0-ImpAsY,uDG0-ImpAsY,https://www.youtube.com/watch?v=9UUXDAluTuQ https://www.youtube.com/watch?v=jNBGnuiW_jE,,
DJMAX RESPECT V Dream of Winds,https://www.youtube.com/watch?v=mmo6u47dt_A,mmo6u47dt_A,https://www.youtube.com/watch?v=2GA1yQpKM78 https://www.youtube.com/watch?v=iha5GCtyyMk,,
DJMAX RESPECT V DUKA -Special Edit-,https://www.youtube.com/watch?v=Qd_AYvB5USQ,Qd_AYvB5USQ,https://www.youtube.com/watch?v=Ra4Z5fI3_Qs https://www.youtube.com/watch?v=qKthTdi-3VM,,
DJMAX RESPECT V Dysthymia,https://www.youtube.com/watch?v=KWOw0zNi8fE,KWOw0zNi8fE,https://www.youtube.com/watch?v=KjIhkJQ_z94 https://www.youtube.com/watch?v=dvxvPx1qtUg,,
DJMAX RESPECT V ELIXIR,https://www.youtube.com/watch?v=-GUI-54yDAM,-GUI-54yDAM,https://www.youtube.com/watch?v=Nj7AyI8qbWI https://www.youtube.com/watch?v=N7dSPqEI43Y,,
DJMAX RESPECT V Emerge,https://www.youtube.com/watch?v=xbkMIc6aYRw,xbkMIc6aYRw,https://www.youtube.com/watch?v=Zmj-FQvaSmg https://www.youtube.com/watch?v=B3TFXuSCet4,,
DJMAX RESPECT V Enemy Storm ~Dark Jungle Mix~,https://www.youtube.com/watch?v=zZa194PbJQw,zZa194PbJQw,https://www.youtube.com/watch?v=l-aB8-Kwuhs https://www.youtube.com/watch?v=MK22JUQe5YU,,
DJMAX RESPECT V ENERGY SYNERGY MATRIX,https://www.youtube.com/watch?v=VB04GHizHmQ,VB04GHizHmQ,https://www.youtube.com/watch?v=ad2t_FxyGMs https://www.youtube.com/watch?v=Vbnkj9TWzI8,,
DJMAX RESPECT V Enter The Universe,https://www.youtube.com/watch?v=-yqrGEYbAFM,-yqrGEYbAFM,https://www.youtube.com/watch?v=sS9Xtjo9Eeg https://www.youtube.com/watch?v=6rWUudFQyhs,,
DJMAX RESPECT V Entrance,https://www.youtube.com/watch?v=1iZZldVkylg,1iZZldVkylg,https://www.youtube.com/watch?v=f_b9elP7bds https://www.youtube.com/watch?v=QTUhmrzfwLw,,
DJMAX RESPECT V Eta Beta Eta,https://www.youtube.com/watch?v=NvLwQoCDvkY,NvLwQoCDvkY,https://www.youtube.com/watch?v=660x29nJdto https://www.youtube.com/watch?v=wxWcc0p6Irw,,
DJMAX RESPECT V Eternal Damnation,https://www.youtube.com/watch?v=eXWFNiVDC-s,eXWFNiVDC-s,https://www.youtube.com/watch?v=QYkjsSWG7R4 https://www.youtube.com/watch?v=-0U-bBoal1w,,
DJMAX RESPECT V Extreme Z4,https://www.youtube.com/watch?v=xZBGROfpujk,xZBGROfpujk,https://www.youtube.com/watch?v=VxQQ6fw2wNE https://www.youtube.com/watch?v=A_UB-bdj0ic,,
DJMAX RESPECT V Far Away Light,https://www.youtube.com/watch?v=vJU2rADyK18,vJU2rADyK18,https://www.youtube.com/watch?v=XshxO7me8CA https://www.youtube.com/watch?v=ju5PgEf2_S8,,
DJMAX RESPECT V Fermion,https://www.youtube.com/watch?v=tyy5K8nckGo,tyy5K8nckGo,https://www.youtube.com/watch?v=acv2Le6zoQs https://www.youtube.com/watch?v=MXzDJdU9L8Y,,
DJMAX RESPECT V Final Round,https://www.youtube.com/watch?v=BNi3NHkbAHg,BNi3NHkbAHg,https://www.youtube.com/watch?v=eQYMGT0YGt0 https://www.youtube.com/watch?v=Uig8xGONDsA,,
DJMAX RESPECT V Fracture Ray,https://www.youtube.com/watch?v=dTG4_Oyuc98,dTG4_Oyuc98,https://www.youtube.com/watch?v=Z-08ES_bZSI https://www.youtube.com/watch?v=NWpzkdJZixo,,
DJMAX RESPECT V Fundamental,https://www.youtube.com/watch?v=FVMMqB1ZqAE,FVMMqB1ZqAE,https://www.youtube.com/watch?v=TLnFN9rY3yU https://www.youtube.com/watch?v=Ab4ZTUCamlE,,
DJMAX RESPECT V Garakuta Doll Play,https://www.youtube.com/watch?v=KNgxpsrqrTs,KNgxpsrqrTs,https://www.youtube.com/watch?v=cwdic7o0qMY https://www.youtube.com/watch?v=iSPJM2xiw9E,,
DJMAX RESPECT V Gate of Elysium,https://www.youtube.com/watch?v=AD5xMsUziSk,AD5xMsUziSk,https://www.youtube.com/watch?v=SKHWPx9rv6c https://www.youtube.com/watch?v=AXIRpSX0eEM,,
DJMAX RESPECT V glory MAX -나의 최대치로 너와 함께할게-,https://www.youtube.com/watch?v=maAR5SHBO2E,maAR5SHBO2E,https://www.youtube.com/watch?v=mRD7u_Y2hok https://www.youtube.com/watch?v=fp-sEDvCnWs,,DJMAX RESPECT V glory MAX
DJMAX RESPECT V Gone Astray,https://www.youtube.com/watch?v=wHwTJifzpgQ,wHwTJifzpgQ,https://www.youtube.com/watch?v=nCumwaA9UM4 https://www.youtube.com/watch?v=VB_p3jKv0VQ,,
"DJMAX RESPECT V Good Night, Bad Luck.",https://www.youtube.com/watch?v=XsxbGKJGuIk,XsxbGKJGuIk,https://www.youtube.com/watch?v=7qyR0vLgwIg https://www.youtube.com/watch?v=xhFlYHIKn00,,
DJMAX RESPECT V Gregorius I Symphony,https://www.youtube.com/watch?v=rqn8pqdsHZw,rqn8pqdsHZw,https://www.youtube.com/watch?v=FHoPujUm60g https://www.youtube.com/watch?v=ncG3KcKFLSY,,
DJMAX RESPECT V Grievous Lady,https://www.youtube.com/watch?v=Nn_fFvjr5TM,Nn_fFvjr5TM,https://www.youtube.com/watch?v=fLGIs1kUIdo https://www.youtube.com/watch?v=6aSb3GCVl8E,,
DJMAX RESPECT V HAMSIN,https://www.youtube.com/watch?v=w5yg4BrZboU,w5yg4BrZboU,https://www.youtube.com/watch?v=tvCihzlOG_Y https://www.youtube.com/watch?v=ChGaxksLYqs,,
DJMAX RESPECT V Heart of Witch,https://www.youtube.com/watch?v=rBeHm8T8-SI,rBeHm8T8-SI,https://www.youtube.com/watch?v=1WLz59gU0FM https://www.youtube.com/watch?v=fpRPirtHb8E,,
DJMAX RESPECT V HEAVENLY STRIKE,https://www.youtube.com/watch?v=YOgcgcWvBRY,YOgcgcWvBRY,https://www.youtube.com/watch?v=cPIoL-1cbuw https://www.youtube.com/watch?v=JfvKhuvSD9c,,
DJMAX RESPECT V Heliocentrism,https://www.youtube.com/watch?v=76588zfkCN0,76588zfkCN0,https://www.youtube.com/watch?v=1GXPi3RlfqA https://www.youtube.com/watch?v=29F-XYhiiO4,,
DJMAX RESPECT V Hell'o,https://www.youtube.com/watch?v=OAXDoWdvqIg,OAXDoWdvqIg,https://www.youtube.com/watch?v=w1COhKoikaQ https://www.youtube.com/watch?v=i7N9RC8CbYs,,
DJMAX RESPECT V Hero,https://www.youtube.com/watch?v=VMvug6Sn42w,VMvug6Sn42w,https://www.youtube.com/watch?v=49NvCjsy5gQ https://www.youtube.com/watch?v=ojZ5YqJxtmI,,
DJMAX RESPECT V I'M ALIVE,https://www.youtube.com/watch?v=NC-hzNEdfIc,NC-hzNEdfIc,https://www.youtube.com/watch?v=j-V5KCS0zro https://www.youtube.com/watch?v=RWLX4tqIYqY,,
DJMAX RESPECT V Ikazuchi,https://www.youtube.com/watch?v=0GaFOoOCxAc,0GaFOoOCxAc,https://www.youtube.com/watch?v=0Z77JgHr7Pk https://www.youtube.com/watch?v=Cf1exv0WjeE,,
DJMAX RESPECT V In my Dream,https://www.youtube.com/watch?v=z3zXNZaHfA8,z3zXNZaHfA8,https://www.youtube.com/watch?v=MKf35AijyIM https://www.youtube.com/watch?v=ErceyQnMGes,,
DJMAX RESPECT V Insane Drift,https://www.youtube.com/watch?v=3h1xQ7xUSbw,3h1xQ7xUSbw,https://www.youtube.com/watch?v=dC-HUjjSXk8 https://www.youtube.com/watch?v=qXuIu15ew8o,,
DJMAX RESPECT V IWTEYI,https://www.youtube.com/watch?v=lcvHXGFqh4c,lcvHXGFqh4c,https://www.youtube.com/watch?v=7mcRQoVFnD8 https://www.youtube.com/watch?v=FxmjxCm7y70,,
DJMAX RESPECT V Kamui,https://www.youtube.com/watch?v=uH03nW6dN1A,uH03nW6dN1A,https://www.youtube.com/watch?v=vD5ulUWtAmw https://www.youtube.com/watch?v=Azz2p6X84ek,,
DJMAX RESPECT V Kensei,https://www.youtube.com/watch?v=SNkeRWscPIo,SNkeRWscPIo,https://www.youtube.com/watch?v=xp5UjgLY574 https://www.youtube.com/watch?v=TYXOeAq_Res,,
DJMAX RESPECT V KICK IT,https://www.youtube.com/watch?v=PlGtcW1Y2uY,PlGtcW1Y2uY,https://www.youtube.com/watch?v=ggv83oEWztA https://www.youtube.com/watch?v=nEmIHvaFY_8,,
DJMAX RESPECT V Kill Trap,https://www.youtube.com/watch?v=c43BFx8XfII,c43BFx8XfII,https://www.youtube.com/watch?v=cWNUlcf1VIE https://www.youtube.com/watch?v=b37JZk_dS7I,,
DJMAX RESPECT V KILLER BEE,https://www.youtube.com/watch?v=FEOBwiOmvfQ,FEOBwiOmvfQ,https://www.youtube.com/watch?v=vcDZmWeDQbY https://www.youtube.com/watch?v=kbVl3rIEsRQ,,
DJMAX RESPECT V Knowledge System,https://www.youtube.com/watch?v=SnauCHa0TZE,SnauCHa0TZE,https://www.youtube.com/watch?v=KnSgHNyEfXw https://www.youtube.com/watch?v=vdg14l0z44Q,,
DJMAX RESPECT V Krush,https://www.youtube.com/watch?v=msnNzT0MHqg,msnNzT0MHqg,https://www.youtube.com/watch?v=T6Z7JdPSGqQ https://www.youtube.com/watch?v=Bc-WuIboFd8,,
DJMAX RESPECT V L,https://www.youtube.com/watch?v=1bt6S4DbyJI,1bt6S4DbyJI,https://www.youtube.com/watch?v=l9-nQHPzFQA https://www.youtube.com/watch?v=Z8GaD25HVYc,,
